,LoanAmount,Loan_Amount_Term,Credit_History,Dependents,Gender_Male,Married_Yes,Self_Employed_Yes,Status
549,110.0,360.0,1.0,0,1,1,0,Y
550,146.41216216216216,360.0,0.0,2,1,1,1,N
551,146.41216216216216,360.0,1.0,1,1,1,0,Y
552,158.0,360.0,1.0,1,1,1,0,Y
553,181.0,360.0,0.0,0,1,1,0,N
554,132.0,180.0,0.0,0,1,1,0,N
555,26.0,360.0,1.0,1,1,1,0,Y
556,84.0,360.0,0.8421985815602837,0,0,0,0,Y
557,260.0,360.0,1.0,4,1,1,1,Y
558,162.0,360.0,1.0,0,1,1,0,Y
559,182.0,360.0,1.0,0,0,1,0,Y
560,108.0,360.0,1.0,2,1,1,0,Y
561,600.0,360.0,1.0,1,0,1,1,Y
562,211.0,360.0,1.0,0,1,1,0,Y
563,132.0,360.0,1.0,0,1,0,1,Y
564,258.0,360.0,0.0,2,1,1,0,N
565,120.0,360.0,0.8421985815602837,0,1,1,0,Y
566,70.0,360.0,1.0,0,1,0,0,Y
567,123.0,360.0,0.0,4,1,1,0,N
568,9.0,360.0,1.0,0,0,0,0,N
569,104.0,360.0,0.0,0,1,1,0,N
570,186.0,360.0,1.0,1,1,1,0,Y
571,165.0,360.0,0.0,0,1,1,0,N
572,275.0,360.0,1.0,2,1,1,0,Y
573,187.0,480.0,1.0,2,1,1,0,N
574,150.0,360.0,1.0,4,1,1,0,N
575,108.0,84.0,1.0,2,1,1,0,Y
576,136.0,360.0,0.0,0,1,1,0,N
577,110.0,360.0,1.0,0,1,0,0,Y
578,107.0,360.0,1.0,1,1,1,0,Y
579,161.0,360.0,1.0,0,1,0,0,Y
580,205.0,360.0,1.0,2,1,1,0,Y
581,90.0,360.0,1.0,0,1,0,0,N
582,36.0,360.0,1.0,0,0,1,0,Y
583,61.0,360.0,0.8421985815602837,1,1,1,0,N
584,146.0,360.0,0.0,1,1,1,0,N
585,172.0,84.0,1.0,1,1,1,0,N
586,104.0,360.0,1.0,0,1,1,0,Y
587,70.0,360.0,1.0,0,0,0,0,Y
588,94.0,360.0,1.0,0,1,0,0,Y
589,106.0,360.0,0.0,2,1,1,1,N
590,56.0,180.0,1.0,0,1,1,0,Y
591,205.0,240.0,1.0,2,1,1,1,N
592,292.0,360.0,1.0,4,1,0,1,Y
593,142.0,180.0,1.0,0,1,1,0,Y
594,260.0,360.0,1.0,0,1,1,1,Y
595,110.0,360.0,1.0,0,1,0,0,Y
596,187.0,360.0,1.0,2,1,1,1,N
597,88.0,360.0,0.0,0,1,0,0,N
598,180.0,360.0,1.0,0,1,1,1,Y
599,192.0,360.0,1.0,2,1,1,0,Y
600,350.0,180.0,0.8421985815602837,4,0,0,0,N
601,155.0,360.0,1.0,0,1,1,0,Y
602,128.0,360.0,1.0,4,1,1,0,Y
603,172.0,360.0,1.0,0,1,0,0,Y
604,496.0,360.0,1.0,1,0,1,0,Y
605,146.41216216216216,180.0,1.0,0,1,1,0,N
606,173.0,360.0,1.0,1,1,1,0,Y
607,157.0,360.0,1.0,2,1,1,0,Y
608,108.0,360.0,1.0,0,1,1,0,Y
609,71.0,360.0,1.0,0,0,0,0,Y
610,40.0,180.0,1.0,4,1,1,0,Y
611,253.0,360.0,1.0,1,1,1,0,Y
612,187.0,360.0,1.0,2,1,1,0,Y
613,133.0,360.0,0.0,0,0,0,1,N
